code.pop;code_terrain;date;species;status;niche.bi;com.nich;com.sol;sol.bi;person;country;region;town;locality;longitude;latitude;herbarium individual;flower ethanol;leaves phylogeny;flower cytometry;capsules;niche
li94;Li_17_12;20170615;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Aubas;l'Escaleyrou;1,21225;45,08731;;;;;;
li95;Li_17_13;20170615;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Condat sur Vézère;après le roc de Bidaux;1,25051;45,10871;;;;;;
li96;Li_17_14;20170615;Linum suffruticosum;mixed;1;complet;ok.sol;1;Papuga G.;France;NA;;;0,89165;45,17736;;;;;;
li97;Li_17_15;20170615;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;;bord de route;0,71367;45,3011;;;;;;
li98;Li_17_16;20170615;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Saint Vivien;route du Dolmen;0,53009;45,34233;;;;;;
li99;Li_17_17;20170615;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Gout Rossignol;proche de l'étang des Faures;0,41663;45,40651;;;;;;
li100;Li_17_18;20170615;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Chateauneuf sur Charente;;-0,07606;45,59423;;;;;;
li101;Li_17_19;20170616;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;La Boudinière;coteau au sud du Hameau;1,04187;46,70022;;;;;;
li102;Li_17_20;20170616;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;Centre;Le petit Pressigny;Le Moulin Neuf;0,88744;46,91931;;;;;;
li103;Li_17_21;20170616;Linum suffruticosum;mixte;1;complet;ok.sol;1;Papuga G.;France;NA;;;0,87023;46,98093;;;;;;
li104;Li_17_22;20170616;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Ports;"vers ""la Plaunière""";0,54389;47,01359;;;;;;
li105;Li_17_23;20170616;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;Marcilly sur Vienne;LA Reinerie;0,51985;47,03585;;;;;;
li106;Li_17_24;20170616;Linum suffruticosum;pure;1;complet;ok.sol;1;Papuga G.;France;Centre;Saint Bauld;Pont Chalet (ancienne carrière);0,83299;47,17707;;;;;;
li107;Li_17_25;20170617;Linum tenuifolium;pure;1;complet;ok.sol;1;Papuga G.;France;NA;;;1,05315;47,20529;;;;;;
li108;35_1EOV2017;20170611;Linum suffruticosum;mixed;1;complet;ok.sol;1;Olmedo E.;France;Mid-Pyrinne;Lanuéjols;Domain de Pradines;3,3548;44,13303;;;;;;
li109;35_2EOV2017;20170611;Linum tenuifolium;mixed;1;complet;ok.sol;1;Olmedo E.;France;Mid-Pyrinne;Lanuéjols;Domain de Pradines;3,35539;44,13317;;;;;;
li110;36_1EOV2017;20170622;Linum suffruticosum;mixed;1;complet;no.data;0;Olmedo E.;Spain;Girona;Urus;Alp;1,84208;42,3527;;;;;;
li111;36_2EOV2017;20170622;Linum tenuifolium;mixed;1;complet;no.data;0;Olmedo E.;Spain;Girona;Urus;Alp;1,84222;42,3526;;;;;;
li112;3EOV2016;20160610;Mixed;mixed;0;dbl.pb.esp;mixed.sample;0;Olmedo E._Afonso A.;France;Languedoc-Roussillon;Espéraza;D118 Road Dinosaurs Museum;2,22021;43,07347;;;;;;y
li113;3EOV’;20160610;NA;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Olmedo E._Afonso A.;France;NA;;;NA;NA;;;;;;
li114;16EOV2016;20160620;Mixed;mixed;0;dbl.pb.esp;mixed.sample;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;La Penne;Carretera D 27;6,94795;43,93502;;;;;;y
li115;16EOV’;20160620;NA;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;La Penne;Carretera D 27;6,94795;43,93502;;;;;;
li116;23EOV2016;20160623;Mixed;mixed;0;dbl.pb.esp;mixed.sample;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Ribiers;Población en bosque junto cultivo de melocotón;5,82559;44,2134;;;;;;y
li117;23EOV2016’;20160623;NA;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;Ribiers;Población en bosque junto cultivo de melocotón;5,82559;44,2134;;;;;;
li118;91JAM2016;2016;Linum suffruticosum;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li119;91JAM2016’;2016;Linum tenuifolium;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li120;92JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li121;93JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li122;94JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li123;95JAM2016;2016;Linum suffruticosum;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li124;95JAM2016’;2016;Linum tenuifolium;mixed;0;dbl.pb.esp;dbl.pb.esp;0;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li125;96JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li126;97JAM2016;2016;Linum suffruticosum;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li127;98JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li128;99JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li129;100JAM2016;2016;Linum suffruticosum;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li130;101JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li131;102JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li132;103JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li133;104JAM2016;2016;Linum suffruticosum;hybrid;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li134;105JAM2016;2016;Linum tenuifolium;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li135;106JAM2016;2016;Linum suffruticosum;pure;0;abs.hab;ok.sol;1;Arroyo J.;NA;NA;NA;NA;NA;NA;;;;;;
li136;G28;20160625;Linum suffruticosum;mixed;0;abs.hab;abs.sol;0;Gauthier P._Pons V.;France;Languedoc-Roussillon;NA;NA;3,07511;43,98292;y;y;y;y;;n
li137;G28';20160625;Linum tenuifolium;mixed;0;abs.hab;abs.sol;0;Gauthier P._Pons V.;France;Languedoc-Roussillon;NA;NA;3,07382;43,98165;y;y;y;y;;n
li138;28EOV2016;20160624;Linum tenuifolium;mixed;0;dbl + douteux comptage;mixed.sample;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;La Roche-des-Arnauds;Carretera D503;6,00013;44,56893;;;;;;y
li139;28EOV2016’;20160624;Linum suffruticosum;mixed;0;dbl + douteux comptage;dbl.pb.esp;0;Olmedo E._Afonso A.;France;Provence-Alpes-Côte d'Azur;La Roche-des-Arnauds;Carretera D503;5,99975;44,56877;;;;;;
