"code.pop";"sp.name";"date";"x";"y";"precision";"source"
"147";"ls_113";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"20/08/91";5.78497;43.87049;10;"CBN Alpin"
"148";"ls_1130";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/07/07";5.5591;44.99809;10;"CBN Alpin"
"149";"ls_1131";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.56192;44.88116;10;"CBN Alpin"
"150";"ls_1132";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.54245;44.87217;10;"CBN Alpin"
"151";"ls_1133";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.5414;44.87205;10;"CBN Alpin"
"152";"ls_1134";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.54075;44.87124;10;"CBN Alpin"
"153";"ls_1135";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.54079;44.87077;10;"CBN Alpin"
"154";"ls_1136";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53998;44.86968;10;"CBN Alpin"
"155";"ls_1137";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53863;44.86841;10;"CBN Alpin"
"156";"ls_1138";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53477;44.86579;10;"CBN Alpin"
"157";"ls_1139";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53751;44.86759;10;"CBN Alpin"
"158";"ls_114";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"20/08/91";5.78812;43.86943;10;"CBN Alpin"
"159";"ls_1140";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53953;44.86868;10;"CBN Alpin"
"160";"ls_1141";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.53975;44.86806;10;"CBN Alpin"
"161";"ls_1142";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/07/07";5.54231;44.86731;10;"CBN Alpin"
"162";"ls_1143";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"26/07/07";5.59925;45.03725;10;"CBN Alpin"
"163";"ls_1144";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"26/07/07";5.59956;45.03788;10;"CBN Alpin"
"164";"ls_1145";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/05/04";5.30962;44.39981;10;"CBN Alpin"
"165";"ls_1146";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"11/05/04";5.25035;44.35033;10;"CBN Alpin"
"166";"ls_1147";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"11/05/04";5.24994;44.35166;10;"CBN Alpin"
"167";"ls_1148";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/06/04";5.30243;44.35246;10;"CBN Alpin"
"168";"ls_1149";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/06/04";5.3254;44.37215;10;"CBN Alpin"
"169";"ls_115";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/06/00";6.69905;43.89066;10;"CBN Alpin"
"170";"ls_1150";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"09/06/04";5.46247;44.42665;10;"CBN Alpin"
"171";"ls_1151";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"22/09/04";5.22945;44.46847;10;"CBN Alpin"
"172";"ls_1152";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/09/04";5.23502;44.35582;10;"CBN Alpin"
"173";"ls_1153";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"29/09/04";5.24228;44.35717;10;"CBN Alpin"
"174";"ls_1154";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/10/04";5.41658;44.49684;10;"CBN Alpin"
"175";"ls_1155";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/10/04";5.4351;44.48835;10;"CBN Alpin"
"176";"ls_1156";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"05/11/04";5.41564;44.31988;10;"CBN Alpin"
"177";"ls_1157";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"06/04/06";5.23188;44.41393;10;"CBN Alpin"
"178";"ls_1158";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/06/06";5.11148;44.40701;10;"CBN Alpin"
"179";"ls_1159";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"12/06/06";5.44669;44.3633;10;"CBN Alpin"
"180";"ls_116";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/06/00";6.68882;43.89392;10;"CBN Alpin"
"181";"ls_1160";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"07/07/06";5.41555;44.55028;10;"CBN Alpin"
"182";"ls_1161";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/06/96";5.93873;44.06362;10;"CBN Alpin"
"183";"ls_1162";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"23/06/96";5.94195;44.06352;10;"CBN Alpin"
"184";"ls_1163";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"30/05/95";6.07255;44.32678;10;"CBN Alpin"
"185";"ls_1164";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"19/06/07";6.10565;44.16547;10;"CBN Alpin"
"186";"ls_1165";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/05/07";6.11546;44.13113;10;"CBN Alpin"
"187";"ls_1166";"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978";"10/05/07";6.14829;44.16412;10;"CBN Alpin"
